high threshold,low threshold,cause 1,cause 2,cause 3
0.6,-4.5,PtdChos with prob 0.27178030303030304,Diglycerol with prob 0.19736842105263158,Glucose with prob 0.19133333333333333
0.6,-4.0,PtdChos with prob 0.27178030303030304,Diglycerol with prob 0.19736842105263158,Glucose with prob 0.19133333333333333
0.6,-3.5,PtdChos with prob 0.27178030303030304,Diglycerol with prob 0.19736842105263158,Glucose with prob 0.19133333333333333
0.6,-3.0,PtdChos with prob 0.27178030303030304,Diglycerol with prob 0.19736842105263158,Glucose with prob 0.19133333333333333
0.6,-2.5,PtdChos with prob 0.27178030303030304,Diglycerol with prob 0.19736842105263158,Glucose with prob 0.19133333333333333
0.6,-2.0,PtdChos with prob 0.27178030303030304,Diglycerol with prob 0.19736842105263158,Glucose with prob 0.19133333333333333
0.6,-1.5,PtdChos with prob 0.2727272727272727,Diglycerol with prob 0.19736842105263158,Glucose with prob 0.19133333333333333
0.6,-1.0,PtdChos with prob 0.27367424242424243,Diglycerol with prob 0.19736842105263158,Sauce 2 with prob 0.19227738376674547
0.6,-0.5,PtdChos with prob 0.2784090909090909,Diglycerol with prob 0.2013157894736842,Glucose with prob 0.196
0.6,0.0,PtdChos with prob 0.9772727272727273,B-complex with prob 0.9741379310344828,IMP with prob 0.9726666666666667
1.1,-10.0,PtdChos with prob 0.19128787878787878,Sauce 2 with prob 0.12923561859732072,Diglycerol with prob 0.10855263157894737
1.1,-9.5,PtdChos with prob 0.19128787878787878,Sauce 2 with prob 0.12923561859732072,Diglycerol with prob 0.10855263157894737
1.1,-9.0,PtdChos with prob 0.19128787878787878,Sauce 2 with prob 0.12923561859732072,Diglycerol with prob 0.10855263157894737
1.1,-8.5,PtdChos with prob 0.19128787878787878,Sauce 2 with prob 0.12923561859732072,Diglycerol with prob 0.10855263157894737
1.1,-8.0,PtdChos with prob 0.19128787878787878,Sauce 2 with prob 0.12923561859732072,Diglycerol with prob 0.10855263157894737
1.1,-7.5,PtdChos with prob 0.19128787878787878,Sauce 2 with prob 0.12923561859732072,Diglycerol with prob 0.10855263157894737
1.1,-7.0,PtdChos with prob 0.19128787878787878,Sauce 2 with prob 0.13002364066193853,Diglycerol with prob 0.10855263157894737
1.1,-6.5,PtdChos with prob 0.19128787878787878,Sauce 2 with prob 0.13002364066193853,Diglycerol with prob 0.10855263157894737
1.1,-6.0,PtdChos with prob 0.19128787878787878,Sauce 2 with prob 0.13002364066193853,Diglycerol with prob 0.10855263157894737
1.1,-5.5,PtdChos with prob 0.19128787878787878,Sauce 2 with prob 0.13002364066193853,Diglycerol with prob 0.10855263157894737
1.1,-5.0,PtdChos with prob 0.19128787878787878,Sauce 2 with prob 0.13002364066193853,Diglycerol with prob 0.10855263157894737
1.1,-4.5,PtdChos with prob 0.19128787878787878,Sauce 2 with prob 0.13002364066193853,Diglycerol with prob 0.10855263157894737
1.1,-4.0,PtdChos with prob 0.19128787878787878,Sauce 2 with prob 0.13002364066193853,Diglycerol with prob 0.10855263157894737
1.1,-3.5,PtdChos with prob 0.19128787878787878,Sauce 2 with prob 0.13002364066193853,Diglycerol with prob 0.10855263157894737
1.1,-3.0,PtdChos with prob 0.19128787878787878,Sauce 2 with prob 0.13002364066193853,Diglycerol with prob 0.10855263157894737
1.1,-2.5,PtdChos with prob 0.19128787878787878,Sauce 2 with prob 0.13002364066193853,Diglycerol with prob 0.10855263157894737
1.1,-2.0,PtdChos with prob 0.19128787878787878,Sauce 2 with prob 0.13002364066193853,Diglycerol with prob 0.10855263157894737
1.1,-1.5,PtdChos with prob 0.19223484848484848,Sauce 2 with prob 0.13081166272655634,Diglycerol with prob 0.10855263157894737
1.1,-1.0,PtdChos with prob 0.19318181818181818,Sauce 2 with prob 0.13396375098502758,Diglycerol with prob 0.10855263157894737
1.1,-0.5,PtdChos with prob 0.19791666666666666,Sauce 2 with prob 0.1347517730496454,Diglycerol with prob 0.1125
1.1,0.0,PtdChos with prob 0.9772727272727273,B-complex with prob 0.9741379310344828,IMP with prob 0.9726666666666667
1.6,-10.0,PtdChos with prob 0.11647727272727272,Sauce 2 with prob 0.08668242710795902,Diglycerol with prob 0.07236842105263158
1.6,-9.5,PtdChos with prob 0.11647727272727272,Sauce 2 with prob 0.08668242710795902,Diglycerol with prob 0.07236842105263158
1.6,-9.0,PtdChos with prob 0.11647727272727272,Sauce 2 with prob 0.08668242710795902,Diglycerol with prob 0.07236842105263158
1.6,-8.5,PtdChos with prob 0.11647727272727272,Sauce 2 with prob 0.08668242710795902,Diglycerol with prob 0.07236842105263158
1.6,-8.0,PtdChos with prob 0.11647727272727272,Sauce 2 with prob 0.08668242710795902,Diglycerol with prob 0.07236842105263158
1.6,-7.5,PtdChos with prob 0.11647727272727272,Sauce 2 with prob 0.08668242710795902,Diglycerol with prob 0.07236842105263158
1.6,-7.0,PtdChos with prob 0.11647727272727272,Sauce 2 with prob 0.08747044917257683,Diglycerol with prob 0.07236842105263158
1.6,-6.5,PtdChos with prob 0.11647727272727272,Sauce 2 with prob 0.08747044917257683,Diglycerol with prob 0.07236842105263158
1.6,-6.0,PtdChos with prob 0.11647727272727272,Sauce 2 with prob 0.08747044917257683,Diglycerol with prob 0.07236842105263158
1.6,-5.5,PtdChos with prob 0.11647727272727272,Sauce 2 with prob 0.08747044917257683,Diglycerol with prob 0.07236842105263158
1.6,-5.0,PtdChos with prob 0.11647727272727272,Sauce 2 with prob 0.08747044917257683,Diglycerol with prob 0.07236842105263158
1.6,-4.5,PtdChos with prob 0.11647727272727272,Sauce 2 with prob 0.08747044917257683,Diglycerol with prob 0.07236842105263158
1.6,-4.0,PtdChos with prob 0.11647727272727272,Sauce 2 with prob 0.08747044917257683,Diglycerol with prob 0.07236842105263158
1.6,-3.5,PtdChos with prob 0.11647727272727272,Sauce 2 with prob 0.08747044917257683,Diglycerol with prob 0.07236842105263158
1.6,-3.0,PtdChos with prob 0.11647727272727272,Sauce 2 with prob 0.08747044917257683,Diglycerol with prob 0.07236842105263158
